date,atm_id,opening_balance,withdrawals,deposits,closing_balance,replenished,replenishment_amount,cash_utilization_rate,predicted_runout_days
2025-06-27,ATM-00001,3803132,1155662,0,2647470,False,0,73,2
2025-06-28,ATM-00001,2647470,1233273,0,8854288,True,7440091,11,7
2025-06-29,ATM-00001,8854288,2701779,0,6152509,False,0,38,2
2025-06-30,ATM-00001,6152509,1503402,0,4649107,False,0,53,3
2025-07-01,ATM-00001,4649107,1335549,0,3313558,False,0,66,2
2025-07-02,ATM-00001,3313558,2167829,0,9368166,True,8222437,6,4
2025-07-03,ATM-00001,9368166,2202981,0,7165185,False,0,28,3
2025-07-04,ATM-00001,7165185,952358,0,6212827,False,0,37,6
2025-07-05,ATM-00001,6212827,2946435,0,3266392,False,0,67,1
2025-07-06,ATM-00001,3266392,2123740,0,8597056,True,7454403,14,4
2025-07-07,ATM-00001,8597056,926687,0,7670369,False,0,23,8
2025-07-08,ATM-00001,7670369,2354933,0,5315436,False,0,46,2
2025-07-09,ATM-00001,5315436,2134431,0,3181005,False,0,68,1
2025-07-10,ATM-00001,3181005,1838895,0,9167065,True,7824955,8,4
2025-07-11,ATM-00001,9167065,2538934,0,6628131,False,0,33,2
2025-07-12,ATM-00001,6628131,2335470,0,4292661,False,0,57,1
2025-07-13,ATM-00001,4292661,903806,0,3388855,False,0,66,3
2025-07-14,ATM-00001,3388855,1955855,0,8720895,True,7287894,12,4
2025-07-15,ATM-00001,8720895,1209276,0,7511619,False,0,24,6
2025-07-16,ATM-00001,7511619,974149,0,6537470,False,0,34,6
2025-07-17,ATM-00001,6537470,1005881,0,5531589,False,0,44,5
2025-07-18,ATM-00001,5531589,2417186,0,3114403,False,0,68,1
2025-07-19,ATM-00001,3114403,2927174,0,9157781,True,8970551,8,3
2025-07-20,ATM-00001,9157781,2037633,0,7120148,False,0,28,3
2025-07-21,ATM-00001,7120148,1539604,0,5580544,False,0,44,3
2025-07-22,ATM-00001,5580544,2144394,0,3436150,False,0,65,1
2025-07-23,ATM-00001,3436150,1454083,0,9011932,True,7029865,9,6
2025-07-24,ATM-00001,9011932,801314,0,8210618,False,0,17,10
2025-07-25,ATM-00001,8210618,1276780,0,6933838,False,0,30,5
2025-07-26,ATM-00001,6933838,1687791,0,5246047,False,0,47,3
2025-07-27,ATM-00001,5246047,1924937,0,3321110,False,0,66,1
2025-07-28,ATM-00001,3321110,920556,0,2400554,False,0,75,2
2025-07-29,ATM-00001,2400554,1783218,0,8827931,True,8210594,11,4
2025-07-30,ATM-00001,8827931,1174586,0,7653345,False,0,23,6
2025-07-31,ATM-00001,7653345,2636072,0,5017273,False,0,49,1
2025-08-01,ATM-00001,5017273,2425526,0,2591747,False,0,74,1
2025-08-02,ATM-00001,2591747,1318645,0,9251147,True,7978045,7,7
2025-08-03,ATM-00001,9251147,2781327,0,6469820,False,0,35,2
2025-08-04,ATM-00001,6469820,2886288,0,3583532,False,0,64,1
2025-08-05,ATM-00001,3583532,2029739,0,8865013,True,7311220,11,4
2025-08-06,ATM-00001,8865013,2646242,0,6218771,False,0,37,2
2025-08-07,ATM-00001,6218771,2547067,0,3671704,False,0,63,1
2025-08-08,ATM-00001,3671704,2024454,0,9465632,True,7818382,5,4
2025-08-09,ATM-00001,9465632,1365743,0,8099889,False,0,19,5
2025-08-10,ATM-00001,8099889,1278390,0,6821499,False,0,31,5
2025-08-11,ATM-00001,6821499,2440023,0,4381476,False,0,56,1
2025-08-12,ATM-00001,4381476,1583352,0,2798124,False,0,72,1
2025-08-13,ATM-00001,2798124,2231672,0,8774693,True,8208240,12,3
2025-08-14,ATM-00001,8774693,2152726,0,6621967,False,0,33,3
2025-08-15,ATM-00001,6621967,1687422,0,4934545,False,0,50,2
2025-08-16,ATM-00001,4934545,1284153,0,3650392,False,0,63,2
2025-08-17,ATM-00001,3650392,1213886,0,2436506,False,0,75,2
2025-08-18,ATM-00001,2436506,2691914,0,8990986,True,9246394,10,3
2025-08-19,ATM-00001,8990986,2685292,0,6305694,False,0,36,2
2025-08-20,ATM-00001,6305694,1477171,0,4828523,False,0,51,3
2025-08-21,ATM-00001,4828523,2671969,0,2156554,False,0,78,0
2025-08-22,ATM-00001,2156554,2098494,0,8903853,True,8845792,10,4
2025-08-23,ATM-00001,8903853,1600239,0,7303614,False,0,26,4
2025-08-24,ATM-00001,7303614,2652166,0,4651448,False,0,53,1
2025-08-25,ATM-00001,4651448,1379280,0,3272168,False,0,67,2
2025-08-26,ATM-00001,3272168,2078124,0,8544797,True,7350753,14,4
2025-08-27,ATM-00001,8544797,1532856,0,7011941,False,0,29,4
2025-08-28,ATM-00001,7011941,1496677,0,5515264,False,0,44,3
2025-08-29,ATM-00001,5515264,2408702,0,3106562,False,0,68,1
2025-08-30,ATM-00001,3106562,1256575,0,9425249,True,7575261,5,7
2025-08-31,ATM-00001,9425249,2084956,0,7340293,False,0,26,3
2025-09-01,ATM-00001,7340293,2228491,0,5111802,False,0,48,2
2025-09-02,ATM-00001,5111802,1056622,0,4055180,False,0,59,3
2025-09-03,ATM-00001,4055180,1543377,0,2511803,False,0,74,1
2025-09-04,ATM-00001,2511803,878735,0,9339258,True,7706190,6,10
2025-09-05,ATM-00001,9339258,2989125,0,6350133,False,0,36,2
2025-09-06,ATM-00001,6350133,2137048,0,4213085,False,0,57,1
2025-09-07,ATM-00001,4213085,2112426,0,2100659,False,0,78,0
2025-09-08,ATM-00001,2100659,2751039,0,9481755,True,10132135,5,3
2025-09-09,ATM-00001,9481755,2127462,0,7354293,False,0,26,3
2025-09-10,ATM-00001,7354293,1044486,0,6309807,False,0,36,6
2025-09-11,ATM-00001,6309807,1285735,0,5024072,False,0,49,3
2025-09-12,ATM-00001,5024072,957752,0,4066320,False,0,59,4
2025-09-13,ATM-00001,4066320,1431373,0,2634947,False,0,73,1
2025-09-14,ATM-00001,2634947,1900851,0,9087135,True,8353038,9,4
2025-09-15,ATM-00001,9087135,969505,0,8117630,False,0,18,8
2025-09-16,ATM-00001,8117630,832284,0,7285346,False,0,27,8
2025-09-17,ATM-00001,7285346,2554152,0,4731194,False,0,52,1
2025-09-18,ATM-00001,4731194,2080695,0,2650499,False,0,73,1
2025-09-19,ATM-00001,2650499,1826609,0,8770261,True,7946370,12,4
2025-09-20,ATM-00001,8770261,1433708,0,7336553,False,0,26,5
2025-09-21,ATM-00001,7336553,1585582,0,5750971,False,0,42,3
2025-09-22,ATM-00001,5750971,2562230,0,3188741,False,0,68,1
2025-09-23,ATM-00001,3188741,1157695,0,2031046,False,0,79,1
2025-09-24,ATM-00001,2031046,2687631,0,9436182,True,10092767,5,3
2025-09-25,ATM-00001,9436182,1320094,0,8116088,False,0,18,6
2025-09-26,ATM-00001,8116088,2822904,0,5293184,False,0,47,1
2025-09-27,ATM-00001,5293184,1101100,0,4192084,False,0,58,3
2025-09-28,ATM-00001,4192084,1737138,0,2454946,False,0,75,1
2025-09-29,ATM-00001,2454946,1421781,0,9324883,True,8291718,6,6
2025-09-30,ATM-00001,9324883,2878607,0,6446276,False,0,35,2
2025-10-01,ATM-00001,6446276,2488888,0,3957388,False,0,60,1
2025-10-02,ATM-00001,3957388,1668138,0,2289250,False,0,77,1
2025-10-03,ATM-00001,2289250,1139521,0,8670294,True,7520564,13,7
2025-10-04,ATM-00001,8670294,2764182,0,5906112,False,0,40,2
2025-10-05,ATM-00001,5906112,1509037,0,4397075,False,0,56,2
2025-10-06,ATM-00001,4397075,962254,0,3434821,False,0,65,3
2025-10-07,ATM-00001,3434821,897347,0,2537474,False,0,74,2
2025-10-08,ATM-00001,2537474,1685649,0,8544197,True,7692372,14,5
2025-10-09,ATM-00001,8544197,2395183,0,6149014,False,0,38,2
2025-10-10,ATM-00001,6149014,1849084,0,4299930,False,0,57,2
2025-10-11,ATM-00001,4299930,1086322,0,3213608,False,0,67,2
2025-10-12,ATM-00001,3213608,1624980,0,9108528,True,7519899,8,5
2025-10-13,ATM-00001,9108528,934740,0,8173788,False,0,18,8
2025-10-14,ATM-00001,8173788,2099209,0,6074579,False,0,39,2
2025-10-15,ATM-00001,6074579,2608524,0,3466055,False,0,65,1
2025-10-16,ATM-00001,3466055,2796931,0,8678558,True,8009434,13,3
2025-10-17,ATM-00001,8678558,816121,0,7862437,False,0,21,9
2025-10-18,ATM-00001,7862437,1873780,0,5988657,False,0,40,3
2025-10-19,ATM-00001,5988657,2233793,0,3754864,False,0,62,1
2025-10-20,ATM-00001,3754864,1565166,0,2189698,False,0,78,1
2025-10-21,ATM-00001,2189698,940629,0,8840834,True,7591765,11,9
2025-10-22,ATM-00001,8840834,2361894,0,6478940,False,0,35,2
2025-10-23,ATM-00001,6478940,2145827,0,4333113,False,0,56,2
2025-10-24,ATM-00001,4333113,2200296,0,2132817,False,0,78,0
2025-10-25,ATM-00001,2132817,1236260,0,9012904,True,8116346,9,7
2025-10-26,ATM-00001,9012904,1346448,0,7666456,False,0,23,5
2025-10-27,ATM-00001,7666456,2597929,0,5068527,False,0,49,1
2025-10-28,ATM-00001,5068527,2349201,0,2719326,False,0,72,1
2025-10-29,ATM-00001,2719326,1790564,0,8872392,True,7943629,11,4
2025-05-03,ATM-00002,9000000,1626000,0,7374000,False,0,26,4
2025-05-04,ATM-00002,7374000,2760375,0,4613625,False,0,53,1
2025-05-05,ATM-00002,4613625,1784134,0,2829491,False,0,71,1
2025-05-06,ATM-00002,2829491,1264994,0,9358722,True,7794225,6,7
2025-05-07,ATM-00002,9358722,1932624,0,7426098,False,0,25,3
2025-05-08,ATM-00002,7426098,2234566,0,5191532,False,0,48,2
2025-05-09,ATM-00002,5191532,2446139,0,2745393,False,0,72,1
2025-05-10,ATM-00002,2745393,850717,0,9308702,True,7414026,6,10
2025-05-11,ATM-00002,9308702,1907425,0,7401277,False,0,25,3
2025-05-12,ATM-00002,7401277,2708647,0,4692630,False,0,53,1
2025-05-13,ATM-00002,4692630,2521805,0,2170825,False,0,78,0
2025-05-14,ATM-00002,2170825,2951669,0,9018035,True,9798878,9,3
2025-05-15,ATM-00002,9018035,877264,0,8140771,False,0,18,9
2025-05-16,ATM-00002,8140771,940239,0,7200532,False,0,27,7
2025-05-17,ATM-00002,7200532,1287196,0,5913336,False,0,40,4
2025-05-18,ATM-00002,5913336,1109366,0,4803970,False,0,51,4
2025-05-19,ATM-00002,4803970,2230126,0,2573844,False,0,74,1
2025-05-20,ATM-00002,2573844,2611346,0,8513529,True,8551031,14,3
2025-05-21,ATM-00002,8513529,1124651,0,7388878,False,0,26,6
2025-05-22,ATM-00002,7388878,2640509,0,4748369,False,0,52,1
2025-05-23,ATM-00002,4748369,1055360,0,3693009,False,0,63,3
2025-05-24,ATM-00002,3693009,2370929,0,8763304,True,7441223,12,3
2025-05-25,ATM-00002,8763304,2155934,0,6607370,False,0,33,3
2025-05-26,ATM-00002,6607370,2577050,0,4030320,False,0,59,1
2025-05-27,ATM-00002,4030320,1984006,0,2046314,False,0,79,1
2025-05-28,ATM-00002,2046314,1378462,0,9146851,True,8478999,8,6
2025-05-29,ATM-00002,9146851,2897394,0,6249457,False,0,37,2
2025-05-30,ATM-00002,6249457,2956344,0,3293113,False,0,67,1
2025-05-31,ATM-00002,3293113,1427552,0,9091473,True,7225912,9,6
2025-06-01,ATM-00002,9091473,2765617,0,6325856,False,0,36,2
2025-06-02,ATM-00002,6325856,1377224,0,4948632,False,0,50,3
2025-06-03,ATM-00002,4948632,2437300,0,2511332,False,0,74,1
2025-06-04,ATM-00002,2511332,1013767,0,8921375,True,7423809,10,8
2025-06-05,ATM-00002,8921375,2059713,0,6861662,False,0,31,3
2025-06-06,ATM-00002,6861662,1158941,0,5702721,False,0,42,4
2025-06-07,ATM-00002,5702721,2548566,0,3154155,False,0,68,1
2025-06-08,ATM-00002,3154155,1318746,0,9451095,True,7615686,5,7
2025-06-09,ATM-00002,9451095,1214191,0,8236904,False,0,17,6
2025-06-10,ATM-00002,8236904,842520,0,7394384,False,0,26,8
2025-06-11,ATM-00002,7394384,2877366,0,4517018,False,0,54,1
2025-06-12,ATM-00002,4517018,2085511,0,2431507,False,0,75,1
2025-06-13,ATM-00002,2431507,2762727,0,8996245,True,9327465,10,3
2025-06-14,ATM-00002,8996245,2616724,0,6379521,False,0,36,2
2025-06-15,ATM-00002,6379521,868722,0,5510799,False,0,44,6
2025-06-16,ATM-00002,5510799,2535950,0,2974849,False,0,70,1
2025-06-17,ATM-00002,2974849,2793758,0,8717048,True,8535956,12,3
2025-06-18,ATM-00002,8717048,1176176,0,7540872,False,0,24,6
2025-06-19,ATM-00002,7540872,1010740,0,6530132,False,0,34,6
2025-06-20,ATM-00002,6530132,1999388,0,4530744,False,0,54,2
2025-06-21,ATM-00002,4530744,1724722,0,2806022,False,0,71,1
2025-06-22,ATM-00002,2806022,1215642,0,8726978,True,7136597,12,7
2025-06-23,ATM-00002,8726978,805317,0,7921661,False,0,20,9
2025-06-24,ATM-00002,7921661,2253828,0,5667833,False,0,43,2
2025-06-25,ATM-00002,5667833,1763633,0,3904200,False,0,60,2
2025-06-26,ATM-00002,3904200,1069561,0,2834639,False,0,71,2
2025-06-27,ATM-00002,2834639,2784485,0,8611043,True,8560889,13,3
2025-06-28,ATM-00002,8611043,1704616,0,6906427,False,0,30,4
2025-06-29,ATM-00002,6906427,1849842,0,5056585,False,0,49,2
2025-06-30,ATM-00002,5056585,1220825,0,3835760,False,0,61,3
2025-07-01,ATM-00002,3835760,1172703,0,2663057,False,0,73,2
2025-07-02,ATM-00002,2663057,1461664,0,9317917,True,8116524,6,6
2025-07-03,ATM-00002,9317917,1225415,0,8092502,False,0,19,6
2025-07-04,ATM-00002,8092502,2902972,0,5189530,False,0,48,1
2025-07-05,ATM-00002,5189530,1228837,0,3960693,False,0,60,3
2025-07-06,ATM-00002,3960693,2432800,0,9021855,True,7493961,9,3
2025-07-07,ATM-00002,9021855,1044260,0,7977595,False,0,20,7
2025-07-08,ATM-00002,7977595,1429856,0,6547739,False,0,34,4
2025-07-09,ATM-00002,6547739,2989958,0,3557781,False,0,64,1
2025-07-10,ATM-00002,3557781,1834255,0,9340581,True,7617054,6,5
2025-07-11,ATM-00002,9340581,2059576,0,7281005,False,0,27,3
2025-07-12,ATM-00002,7281005,1899101,0,5381904,False,0,46,2
2025-07-13,ATM-00002,5381904,2243579,0,3138325,False,0,68,1
2025-07-14,ATM-00002,3138325,1143461,0,9273163,True,7278298,7,8
2025-07-15,ATM-00002,9273163,954599,0,8318564,False,0,16,8
2025-07-16,ATM-00002,8318564,2283885,0,6034679,False,0,39,2
2025-07-17,ATM-00002,6034679,2771875,0,3262804,False,0,67,1
2025-07-18,ATM-00002,3262804,2867528,0,8622531,True,8227255,13,3
2025-07-19,ATM-00002,8622531,1426546,0,7195985,False,0,28,5
2025-07-20,ATM-00002,7195985,2038613,0,5157372,False,0,48,2
2025-07-21,ATM-00002,5157372,2258243,0,2899129,False,0,71,1
2025-07-22,ATM-00002,2899129,1485093,0,9294232,True,7880195,7,6
2025-07-23,ATM-00002,9294232,1382894,0,7911338,False,0,20,5
2025-07-24,ATM-00002,7911338,2080414,0,5830924,False,0,41,2
2025-07-25,ATM-00002,5830924,2053243,0,3777681,False,0,62,1
2025-07-26,ATM-00002,3777681,1728068,0,2049613,False,0,79,1
2025-07-27,ATM-00002,2049613,1939799,0,9339447,True,9229633,6,4
2025-07-28,ATM-00002,9339447,2696758,0,6642689,False,0,33,2
2025-07-29,ATM-00002,6642689,1149012,0,5493677,False,0,45,4
2025-07-30,ATM-00002,5493677,1491367,0,4002310,False,0,59,2
2025-07-31,ATM-00002,4002310,2730381,0,8837992,True,7566063,11,3
2025-08-01,ATM-00002,8837992,2510356,0,6327636,False,0,36,2
2025-08-02,ATM-00002,6327636,1907033,0,4420603,False,0,55,2
2025-08-03,ATM-00002,4420603,2228514,0,2192089,False,0,78,0
2025-08-04,ATM-00002,2192089,2743813,0,9350477,True,9902201,6,3
2025-08-05,ATM-00002,9350477,2989384,0,6361093,False,0,36,2
2025-08-06,ATM-00002,6361093,2563315,0,3797778,False,0,62,1
2025-08-07,ATM-00002,3797778,1117647,0,2680131,False,0,73,2
2025-08-08,ATM-00002,2680131,2236090,0,9428995,True,8984954,5,4
2025-08-09,ATM-00002,9428995,2392411,0,7036584,False,0,29,2
2025-08-10,ATM-00002,7036584,1715324,0,5321260,False,0,46,3
2025-08-11,ATM-00002,5321260,976325,0,4344935,False,0,56,4
2025-08-12,ATM-00002,4344935,1481659,0,2863276,False,0,71,1
2025-08-13,ATM-00002,2863276,2767794,0,8510592,True,8415109,14,3
2025-08-14,ATM-00002,8510592,2964446,0,5546146,False,0,44,1
2025-08-15,ATM-00002,5546146,2238107,0,3308039,False,0,66,1
2025-08-16,ATM-00002,3308039,2655652,0,8984726,True,8332339,10,3
2025-08-17,ATM-00002,8984726,1684306,0,7300420,False,0,26,4
2025-08-18,ATM-00002,7300420,2277277,0,5023143,False,0,49,2
2025-08-19,ATM-00002,5023143,1977072,0,3046071,False,0,69,1
2025-08-20,ATM-00002,3046071,2831939,0,8776494,True,8562361,12,3
2025-08-21,ATM-00002,8776494,1167225,0,7609269,False,0,23,6
2025-08-22,ATM-00002,7609269,1033932,0,6575337,False,0,34,6
2025-08-23,ATM-00002,6575337,2509321,0,4066016,False,0,59,1
2025-08-24,ATM-00002,4066016,1623172,0,2442844,False,0,75,1
2025-08-25,ATM-00002,2442844,1390348,0,8877665,True,7825168,11,6
2025-08-26,ATM-00002,8877665,1458469,0,7419196,False,0,25,5
2025-08-27,ATM-00002,7419196,2795102,0,4624094,False,0,53,1
2025-08-28,ATM-00002,4624094,1918280,0,2705814,False,0,72,1
2025-08-29,ATM-00002,2705814,2062076,0,9239496,True,8595758,7,4
2025-08-30,ATM-00002,9239496,1305222,0,7934274,False,0,20,6
2025-08-31,ATM-00002,7934274,2955903,0,4978371,False,0,50,1
2025-09-01,ATM-00002,4978371,1720318,0,3258053,False,0,67,1
2025-09-02,ATM-00002,3258053,1241198,0,2016855,False,0,79,1
2025-09-03,ATM-00002,2016855,2075190,0,8766526,True,8824861,12,4
2025-09-04,ATM-00002,8766526,1235322,0,7531204,False,0,24,6
2025-09-05,ATM-00002,7531204,2645368,0,4885836,False,0,51,1
2025-09-06,ATM-00002,4885836,1220719,0,3665117,False,0,63,3
2025-09-07,ATM-00002,3665117,2517976,0,8910857,True,7763715,10,3
2025-09-08,ATM-00002,8910857,1804844,0,7106013,False,0,28,3
2025-09-09,ATM-00002,7106013,1194249,0,5911764,False,0,40,4
2025-09-10,ATM-00002,5911764,2795660,0,3116104,False,0,68,1
2025-09-11,ATM-00002,3116104,2942984,0,8735648,True,8562527,12,2
2025-09-12,ATM-00002,8735648,2245915,0,6489733,False,0,35,2
2025-09-13,ATM-00002,6489733,2053836,0,4435897,False,0,55,2
2025-09-14,ATM-00002,4435897,2397089,0,2038808,False,0,79,0
2025-09-15,ATM-00002,2038808,1035303,0,9252453,True,8248947,7,8
2025-09-16,ATM-00002,9252453,2577544,0,6674909,False,0,33,2
2025-09-17,ATM-00002,6674909,1477899,0,5197010,False,0,48,3
2025-09-18,ATM-00002,5197010,2829259,0,2367751,False,0,76,0
2025-09-19,ATM-00002,2367751,2718101,0,8763965,True,9114314,12,3
2025-09-20,ATM-00002,8763965,2682081,0,6081884,False,0,39,2
2025-09-21,ATM-00002,6081884,1492079,0,4589805,False,0,54,3
2025-09-22,ATM-00002,4589805,2033012,0,2556793,False,0,74,1
2025-09-23,ATM-00002,2556793,2002410,0,8638722,True,8084339,13,4
2025-09-24,ATM-00002,8638722,1765907,0,6872815,False,0,31,3
2025-09-25,ATM-00002,6872815,995491,0,5877324,False,0,41,5
2025-09-26,ATM-00002,5877324,2771599,0,3105725,False,0,68,1
2025-09-27,ATM-00002,3105725,2508300,0,9131050,True,8533625,8,3
2025-09-28,ATM-00002,9131050,845705,0,8285345,False,0,17,9
2025-09-29,ATM-00002,8285345,1586773,0,6698572,False,0,33,4
2025-09-30,ATM-00002,6698572,2627088,0,4071484,False,0,59,1
2025-10-01,ATM-00002,4071484,2332869,0,8578916,True,6840301,14,3
2025-10-02,ATM-00002,8578916,1476214,0,7102702,False,0,28,4
2025-10-03,ATM-00002,7102702,1929532,0,5173170,False,0,48,2
2025-10-04,ATM-00002,5173170,2295742,0,2877428,False,0,71,1
2025-10-05,ATM-00002,2877428,2229008,0,8531404,True,7882984,14,3
2025-10-06,ATM-00002,8531404,1206900,0,7324504,False,0,26,6
2025-10-07,ATM-00002,7324504,2625987,0,4698517,False,0,53,1
2025-10-08,ATM-00002,4698517,2917871,0,9120273,True,7339627,8,3
2025-10-09,ATM-00002,9120273,1609494,0,7510779,False,0,24,4
2025-10-10,ATM-00002,7510779,1438584,0,6072195,False,0,39,4
2025-10-11,ATM-00002,6072195,2249157,0,3823038,False,0,61,1
2025-10-12,ATM-00002,3823038,2893584,0,8839407,True,7909952,11,3
2025-10-13,ATM-00002,8839407,1517486,0,7321921,False,0,26,4
2025-10-14,ATM-00002,7321921,817533,0,6504388,False,0,34,7
2025-10-15,ATM-00002,6504388,2254153,0,4250235,False,0,57,1
2025-10-16,ATM-00002,4250235,2726954,0,8882155,True,7358873,11,3
2025-10-17,ATM-00002,8882155,1066162,0,7815993,False,0,21,7
2025-10-18,ATM-00002,7815993,2413630,0,5402363,False,0,45,2
2025-10-19,ATM-00002,5402363,860794,0,4541569,False,0,54,5
2025-10-20,ATM-00002,4541569,1804890,0,2736679,False,0,72,1
2025-10-21,ATM-00002,2736679,2995040,0,9095719,True,9354080,9,3
2025-10-22,ATM-00002,9095719,970534,0,8125185,False,0,18,8
2025-10-23,ATM-00002,8125185,2050423,0,6074762,False,0,39,2
2025-10-24,ATM-00002,6074762,2007667,0,4067095,False,0,59,2
2025-10-25,ATM-00002,4067095,2450256,0,8985676,True,7368836,10,3
2025-10-26,ATM-00002,8985676,1525178,0,7460498,False,0,25,4
2025-10-27,ATM-00002,7460498,1981279,0,5479219,False,0,45,2
2025-10-28,ATM-00002,5479219,2535004,0,2944215,False,0,70,1
2025-10-29,ATM-00002,2944215,2874749,0,8988174,True,8918707,10,3
2025-05-03,ATM-00003,4500000,1964991,0,2535009,False,0,49,1
2025-05-04,ATM-00003,2535009,2322739,0,4523213,True,4310943,9,1
2025-05-05,ATM-00003,4523213,1013562,0,3509651,False,0,29,3
2025-05-06,ATM-00003,3509651,1912060,0,1597591,False,0,68,0
2025-05-07,ATM-00003,1597591,871385,0,4737942,True,4011735,5,5
2025-05-08,ATM-00003,4737942,2729839,0,2008103,False,0,59,0
2025-05-09,ATM-00003,2008103,2577905,0,4368751,True,4938553,12,1
2025-05-10,ATM-00003,4368751,2049031,0,2319720,False,0,53,1
2025-05-11,ATM-00003,2319720,2862698,0,4430983,True,4973961,11,1
2025-05-12,ATM-00003,4430983,1099828,0,3331155,False,0,33,3
2025-05-13,ATM-00003,3331155,2601154,0,4612001,True,3882000,7,1
2025-05-14,ATM-00003,4612001,1782854,0,2829147,False,0,43,1
2025-05-15,ATM-00003,2829147,1923404,0,4435849,True,3530105,11,2
2025-05-16,ATM-00003,4435849,2122136,0,2313713,False,0,53,1
2025-05-17,ATM-00003,2313713,2442099,0,4265869,True,4394255,14,1
2025-05-18,ATM-00003,4265869,2549008,0,1716861,False,0,65,0
2025-05-19,ATM-00003,1716861,2847151,0,4445559,True,5575848,11,1
2025-05-20,ATM-00003,4445559,2574967,0,1870592,False,0,62,0
2025-05-21,ATM-00003,1870592,993676,0,4740418,True,3863502,5,4
2025-05-22,ATM-00003,4740418,2030447,0,2709971,False,0,45,1
2025-05-23,ATM-00003,2709971,1818910,0,4391203,True,3500141,12,2
