timestamp,atm_id,cash_level,cash_percentage,uptime_status,network_latency_ms,temperature_c,error_codes,transactions_last_hour,card_reader_health,dispenser_health,printer_health
2025-05-03T11:48:11.525109,ATM-00001,6784319,67,online,50,25.2,[],29,97,85,75
2025-05-03T11:53:11.525109,ATM-00001,6777006,67,online,79,19.2,[],22,85,87,94
2025-05-03T11:58:11.525109,ATM-00001,6766669,67,online,131,28.4,"[""20002""]",25,86,90,98
2025-05-03T12:03:11.525109,ATM-00001,6761779,67,online,52,30.8,[],9,99,87,96
2025-05-03T12:08:11.525109,ATM-00001,6759567,67,online,75,21.9,[],15,86,89,91
2025-05-03T12:13:11.525109,ATM-00001,6756021,67,online,43,27.2,[],3,89,91,94
2025-05-03T12:18:11.525109,ATM-00001,6753031,67,online,113,18.6,[],11,90,87,78
2025-05-03T12:23:11.525109,ATM-00001,6750019,67,online,140,23.1,[],9,99,85,94
2025-05-03T12:28:11.525109,ATM-00001,6745023,67,online,104,22.1,[],7,93,86,77
2025-05-03T12:33:11.525109,ATM-00001,6740509,67,online,71,27.1,[],12,96,87,100
2025-05-03T12:38:11.525109,ATM-00001,6738381,67,online,60,27.3,[],10,88,100,78
2025-05-03T12:43:11.525109,ATM-00001,6734963,67,offline,57,27.6,[],13,99,99,79
2025-05-03T12:48:11.525109,ATM-00001,6731167,67,online,106,29.3,"[""20001""]",5,88,93,79
2025-05-03T12:53:11.525109,ATM-00001,6729045,67,online,148,24.8,[],5,90,83,93
2025-05-03T12:58:11.525109,ATM-00001,6724375,67,online,39,29,[],13,99,93,99
2025-05-03T13:03:11.525109,ATM-00001,6720065,67,online,26,23,[],13,99,95,75
2025-05-03T13:08:11.525109,ATM-00001,6715984,67,online,108,29.9,[],14,87,91,81
2025-05-03T13:13:11.525109,ATM-00001,6714009,67,online,101,18.7,[],5,85,84,99
2025-05-03T13:18:11.525109,ATM-00001,6710282,67,online,82,25.8,[],3,91,89,95
2025-05-03T13:23:11.525109,ATM-00001,6706725,67,online,63,26.3,[],10,97,81,82
2025-05-03T13:28:11.525109,ATM-00001,6704798,67,online,72,21.8,[],10,96,89,95
2025-05-03T13:33:11.525109,ATM-00001,6702756,67,online,57,21.4,[],11,88,81,77
2025-05-03T13:38:11.525109,ATM-00001,6699759,66,online,53,24.2,[],15,95,83,82
2025-05-03T13:43:11.525109,ATM-00001,6696757,66,online,35,19.4,[],5,85,83,82
2025-05-03T13:48:11.525109,ATM-00001,6692166,66,online,63,23.1,[],3,91,82,99
2025-05-03T13:53:11.525109,ATM-00001,6688387,66,online,125,21.1,[],6,87,100,97
2025-05-03T13:58:11.525109,ATM-00001,6684105,66,online,117,26.4,[],11,94,100,90
2025-05-03T14:03:11.525109,ATM-00001,6680099,66,online,31,18.6,[],4,93,83,99
2025-05-03T14:08:11.525109,ATM-00001,6678157,66,online,22,24.4,[],7,96,80,100
2025-05-03T14:13:11.525109,ATM-00001,6673579,66,online,102,19.5,[],3,96,82,99
2025-05-03T14:18:11.525109,ATM-00001,6671311,66,online,40,26.7,[],7,96,88,86
2025-05-03T14:23:11.525109,ATM-00001,6667349,66,online,56,26.6,[],9,88,99,80
2025-05-03T14:28:11.525109,ATM-00001,6663205,66,online,40,21.3,[],13,88,96,91
2025-05-03T14:33:11.525109,ATM-00001,6659271,66,online,128,21.4,[],4,89,92,99
2025-05-03T14:38:11.525109,ATM-00001,6655520,66,online,132,25.6,"[""20002""]",8,100,86,89
2025-05-03T14:43:11.525109,ATM-00001,6653316,66,online,142,28.5,[],3,90,84,81
2025-05-03T14:48:11.525109,ATM-00001,6650072,66,online,37,22.2,[],9,90,95,88
2025-05-03T14:53:11.525109,ATM-00001,6647287,66,online,20,22.2,[],4,99,93,99
2025-05-03T14:58:11.525109,ATM-00001,6645092,66,online,64,26.8,[],5,94,96,82
2025-05-03T15:03:11.525109,ATM-00001,6642810,66,online,127,20.9,"[""20002""]",10,85,88,87
2025-05-03T15:08:11.525109,ATM-00001,6639433,66,online,119,26.3,"[""C0047""]",6,97,97,92
2025-05-03T15:13:11.525109,ATM-00001,6636503,66,offline,91,25.6,[],12,92,92,98
2025-05-03T15:18:11.525109,ATM-00001,6633597,66,online,40,28.7,[],5,89,99,78
2025-05-03T15:23:11.525109,ATM-00001,6631014,66,online,34,23.4,[],7,87,81,83
2025-05-03T15:28:11.525109,ATM-00001,6629075,66,online,57,26.1,[],10,90,84,91
2025-05-03T15:33:11.525109,ATM-00001,6626552,66,online,51,25.3,[],11,88,94,97
2025-05-03T15:38:11.525109,ATM-00001,6621699,66,online,122,27.1,[],10,95,94,91
2025-05-03T15:43:11.525109,ATM-00001,6617189,66,online,142,30.5,[],10,86,90,80
2025-05-03T15:48:11.525109,ATM-00001,6614786,66,online,51,19.5,[],9,95,93,86
2025-05-03T15:53:11.525109,ATM-00001,6610297,66,online,46,31.9,[],3,98,82,90
2025-05-03T15:58:11.525109,ATM-00001,6607477,66,online,100,23.7,[],9,91,83,80
2025-05-03T16:03:11.525109,ATM-00001,6595775,65,online,113,29.7,[],20,98,83,88
2025-05-03T16:08:11.525109,ATM-00001,6585776,65,online,75,24.8,[],17,87,98,81
2025-05-03T16:13:11.525109,ATM-00001,6573369,65,online,33,23.5,"[""20001""]",37,86,83,99
2025-05-03T16:18:11.525109,ATM-00001,6564439,65,online,23,25,[],30,96,86,100
2025-05-03T16:23:11.525109,ATM-00001,6555897,65,online,76,29.2,[],28,88,87,77
2025-05-03T16:28:11.525109,ATM-00001,6544094,65,online,104,21.7,[],16,94,99,76
2025-05-03T16:33:11.525109,ATM-00001,6534777,65,online,61,26.4,[],26,95,96,82
2025-05-03T16:38:11.525109,ATM-00001,6524378,65,online,80,27.5,"[""20014""]",39,88,84,90
2025-05-03T16:43:11.525109,ATM-00001,6514670,65,online,75,26.5,[],25,95,83,89
2025-05-03T16:48:11.525109,ATM-00001,6505028,65,online,67,22.5,[],17,93,95,88
2025-05-03T16:53:11.525109,ATM-00001,6496401,64,online,47,29.5,"[""90001""]",21,97,81,78
2025-05-03T16:58:11.525109,ATM-00001,6485418,64,online,86,23,[],21,93,90,82
2025-05-03T17:03:11.525109,ATM-00001,6477727,64,online,75,28.9,[],15,100,99,87
2025-05-03T17:08:11.525109,ATM-00001,6465366,64,online,106,28.9,[],35,98,89,86
2025-05-03T17:13:11.525109,ATM-00001,6453622,64,online,91,30.8,[],38,90,83,89
2025-05-03T17:18:11.525109,ATM-00001,6441675,64,online,68,22.6,"[""C0047""]",28,97,96,77
2025-05-03T17:23:11.525109,ATM-00001,6434282,64,online,75,31.5,[],28,99,80,90
2025-05-03T17:28:11.525109,ATM-00001,6426129,64,online,77,27.9,"[""90001""]",20,94,84,95
2025-05-03T17:33:11.525109,ATM-00001,6417587,64,online,89,19.3,[],40,92,81,88
2025-05-03T17:38:11.525109,ATM-00001,6408238,64,online,80,24.1,[],15,88,97,78
2025-05-03T17:43:11.525109,ATM-00001,6398185,63,online,63,22.2,"[""D1500""]",23,89,80,80
2025-05-03T17:48:11.525109,ATM-00001,6388465,63,online,114,18.1,[],29,98,91,97
2025-05-03T17:53:11.525109,ATM-00001,6380806,63,online,129,27.2,"[""20013""]",23,85,99,100
2025-05-03T17:58:11.525109,ATM-00001,6371027,63,online,146,22.9,[],34,87,86,89
2025-05-03T18:03:11.525109,ATM-00001,6363935,63,online,54,22.2,[],17,86,96,80
2025-05-03T18:08:11.525109,ATM-00001,6353057,63,online,38,18.4,[],27,95,99,83
2025-05-03T18:13:11.525109,ATM-00001,6344411,63,online,64,18.5,"[""20001""]",30,97,92,88
2025-05-03T18:18:11.525109,ATM-00001,6333119,63,online,62,26,[],32,97,82,93
2025-05-03T18:23:11.525109,ATM-00001,6323721,63,online,36,26.8,[],39,91,99,96
2025-05-03T18:28:11.525109,ATM-00001,6316877,63,online,79,29,[],23,89,89,75
2025-05-03T18:33:11.525109,ATM-00001,6306076,63,online,65,25.2,[],28,91,86,100
2025-05-03T18:38:11.525109,ATM-00001,6296134,62,online,78,31.3,[],30,96,83,98
2025-05-03T18:43:11.525109,ATM-00001,6283713,62,online,85,28.2,[],39,96,89,80
2025-05-03T18:48:11.525109,ATM-00001,6273941,62,online,65,23.4,[],19,95,90,75
2025-05-03T18:53:11.525109,ATM-00001,6262362,62,online,107,29.5,[],26,90,97,95
2025-05-03T18:58:11.525109,ATM-00001,6249982,62,online,115,26.5,[],30,85,87,93
2025-05-03T19:03:11.525109,ATM-00001,6245984,62,online,128,22,[],12,88,95,87
2025-05-03T19:08:11.525109,ATM-00001,6242525,62,online,137,19.7,[],6,85,81,99
2025-05-03T19:13:11.525109,ATM-00001,6237626,62,online,107,21.8,[],10,91,88,84
2025-05-03T19:18:11.525109,ATM-00001,6233764,62,online,131,24,[],12,93,94,75
2025-05-03T19:23:11.525109,ATM-00001,6229866,62,online,137,27.8,[],3,98,98,76
2025-05-03T19:28:11.525109,ATM-00001,6227735,62,online,132,30.7,[],15,91,96,83
2025-05-03T19:33:11.525109,ATM-00001,6223622,62,online,120,24.7,[],9,95,80,95
2025-05-03T19:38:11.525109,ATM-00001,6220105,62,online,149,23.9,[],4,97,95,96
2025-05-03T19:43:11.525109,ATM-00001,6216841,62,online,66,20.9,[],8,98,98,91
2025-05-03T19:48:11.525109,ATM-00001,6213385,62,offline,91,22.5,"[""90001""]",8,98,93,97
2025-05-03T19:53:11.525109,ATM-00001,6208569,62,online,78,24.8,[],5,93,85,100
2025-05-03T19:58:11.525109,ATM-00001,6203839,62,online,140,29.6,[],5,95,94,78
2025-05-03T20:03:11.525109,ATM-00001,6200530,62,online,53,22.6,"[""90001""]",6,95,95,88
2025-05-03T20:08:11.525109,ATM-00001,6197922,61,online,97,25.2,[],13,98,87,91
2025-05-03T20:13:11.525109,ATM-00001,6194685,61,online,124,30,[],13,97,86,85
2025-05-03T20:18:11.525109,ATM-00001,6190221,61,online,24,28.1,[],15,87,84,89
2025-05-03T20:23:11.525109,ATM-00001,6185555,61,online,105,19.2,[],13,91,80,99
2025-05-03T20:28:11.525109,ATM-00001,6182283,61,online,148,30,[],14,100,94,86
2025-05-03T20:33:11.525109,ATM-00001,6177754,61,online,141,18.7,[],8,98,84,76
2025-05-03T20:38:11.525109,ATM-00001,6175026,61,online,75,21.6,[],6,93,92,91
2025-05-03T20:43:11.525109,ATM-00001,6170095,61,online,82,21.3,[],13,89,86,82
2025-05-03T20:48:11.525109,ATM-00001,6166403,61,online,127,19.2,[],14,86,94,82
2025-05-03T20:53:11.525109,ATM-00001,6164059,61,online,97,21.9,[],10,98,85,96
2025-05-03T20:58:11.525109,ATM-00001,6160134,61,online,119,21.4,[],11,95,81,91
2025-05-03T21:03:11.525109,ATM-00001,6155441,61,online,145,29.4,[],10,96,99,83
2025-05-03T21:08:11.525109,ATM-00001,6152207,61,online,93,29.8,[],5,96,86,89
2025-05-03T21:13:11.525109,ATM-00001,6148030,61,online,27,31.5,[],10,97,94,88
2025-05-03T21:18:11.525109,ATM-00001,6143318,61,online,26,21.7,[],10,98,94,86
2025-05-03T21:23:11.525109,ATM-00001,6141212,61,online,133,22.9,[],4,95,95,99
2025-05-03T21:28:11.525109,ATM-00001,6138411,61,online,73,18.8,[],15,86,100,97
2025-05-03T21:33:11.525109,ATM-00001,6136491,61,online,91,28.3,[],8,97,91,98
2025-05-03T21:38:11.525109,ATM-00001,6132059,61,online,94,28.1,[],11,95,100,96
2025-05-03T21:43:11.525109,ATM-00001,6128084,61,online,107,31.4,"[""D1500""]",13,89,93,88
2025-05-03T21:48:11.525109,ATM-00001,6126243,61,online,23,30.1,[],10,85,98,98
2025-05-03T21:53:11.525109,ATM-00001,6124147,61,online,82,29.4,[],15,96,93,77
2025-05-03T21:58:11.525109,ATM-00001,6122051,61,online,148,25.9,[],8,87,82,92
2025-05-03T22:03:11.525109,ATM-00001,6119828,61,online,101,25,[],10,93,92,88
2025-05-03T22:08:11.525109,ATM-00001,6117744,61,online,98,24.6,[],4,98,96,90
2025-05-03T22:13:11.525109,ATM-00001,6116077,61,online,138,28.3,[],13,97,97,79
2025-05-03T22:18:11.525109,ATM-00001,6114324,61,online,54,23.2,[],12,96,80,91
2025-05-03T22:23:11.525109,ATM-00001,6112287,61,online,62,27.8,[],3,90,98,97
2025-05-03T22:28:11.525109,ATM-00001,6109605,61,online,93,30,[],10,92,99,92
2025-05-03T22:33:11.525109,ATM-00001,6105632,61,online,59,18.9,[],4,91,82,92
2025-05-03T22:38:11.525109,ATM-00001,6101843,61,online,98,24.8,[],6,91,97,93
2025-05-03T22:43:11.525109,ATM-00001,6099684,60,online,148,22.8,[],7,94,84,75
2025-05-03T22:48:11.525109,ATM-00001,6096990,60,online,87,21.9,[],14,90,87,100
2025-05-03T22:53:11.525109,ATM-00001,6092568,60,online,77,29.7,"[""20014""]",14,98,93,84
2025-05-03T22:58:11.525109,ATM-00001,6088188,60,online,44,20.9,"[""20002""]",4,91,80,79
2025-05-03T23:03:11.525109,ATM-00001,6084581,60,online,70,21.7,"[""20013""]",15,95,97,77
2025-05-03T23:08:11.525109,ATM-00001,6081006,60,online,113,26.9,[],10,95,90,94
2025-05-03T23:13:11.525109,ATM-00001,6079024,60,online,97,27.9,[],4,90,97,87
2025-05-03T23:18:11.525109,ATM-00001,6075553,60,online,48,23.3,[],12,90,86,92
2025-05-03T23:23:11.525109,ATM-00001,6072764,60,online,44,26.2,[],15,87,97,97
2025-05-03T23:28:11.525109,ATM-00001,6070873,60,online,70,31.4,[],7,97,86,83
2025-05-03T23:33:11.525109,ATM-00001,6068512,60,online,64,22.4,[],14,96,98,89
2025-05-03T23:38:11.525109,ATM-00001,6065523,60,online,33,29.8,[],4,90,82,91
2025-05-03T23:43:11.525109,ATM-00001,6062140,60,online,69,22.1,"[""20002""]",14,97,82,81
2025-05-03T23:48:11.525109,ATM-00001,6059111,60,online,111,23.1,[],4,95,87,76
2025-05-03T23:53:11.525109,ATM-00001,6056407,60,online,98,22.2,[],11,87,83,76
2025-05-03T23:58:11.525109,ATM-00001,6052516,60,online,97,27.3,[],10,98,93,82
2025-05-04T00:03:11.525109,ATM-00001,6049182,60,online,97,19.7,[],5,88,84,88
2025-05-04T00:08:11.525109,ATM-00001,6044250,60,online,59,18.8,[],4,88,80,88
2025-05-04T00:13:11.525109,ATM-00001,6042011,60,online,117,31.8,[],12,87,80,76
2025-05-04T00:18:11.525109,ATM-00001,6037470,60,online,60,27.3,[],14,88,92,92
2025-05-04T00:23:11.525109,ATM-00001,6035031,60,online,148,31,[],4,100,91,95
2025-05-04T00:28:11.525109,ATM-00001,6031168,60,online,117,29.7,[],9,89,80,91
2025-05-04T00:33:11.525109,ATM-00001,6028445,60,online,147,26,"[""C0047""]",14,85,80,86
2025-05-04T00:38:11.525109,ATM-00001,6023672,60,online,110,24.9,[],11,99,81,97
2025-05-04T00:43:11.525109,ATM-00001,6020906,60,online,27,18.7,[],10,93,97,85
2025-05-04T00:48:11.525109,ATM-00001,6016546,60,online,85,29.3,[],4,89,99,86
2025-05-04T00:53:11.525109,ATM-00001,6014396,60,online,67,30.6,[],8,85,84,95
2025-05-04T00:58:11.525109,ATM-00001,6009912,60,online,117,18.6,[],5,90,88,75
2025-05-04T01:03:11.525109,ATM-00001,6005959,60,online,96,30.4,[],15,97,99,85
2025-05-04T01:08:11.525109,ATM-00001,6004065,60,online,25,21.6,[],11,95,93,87
2025-05-04T01:13:11.525109,ATM-00001,6000981,60,online,44,30.6,[],8,98,84,82
2025-05-04T01:18:11.525109,ATM-00001,5996503,59,online,150,31,[],9,96,93,97
2025-05-04T01:23:11.525109,ATM-00001,5993538,59,online,119,27.2,[],13,89,84,93
2025-05-04T01:28:11.525109,ATM-00001,5991746,59,online,45,29.2,[],11,97,80,83
2025-05-04T01:33:11.525109,ATM-00001,5987447,59,online,90,27.3,[],4,85,86,91
2025-05-04T01:38:11.525109,ATM-00001,5985689,59,online,51,28.6,[],11,95,87,92
2025-05-04T01:43:11.525109,ATM-00001,5983102,59,online,94,22.3,[],15,88,88,89
2025-05-04T01:48:11.525109,ATM-00001,5978359,59,online,112,21.3,[],11,92,98,86
2025-05-04T01:53:11.525109,ATM-00001,5976184,59,online,124,24.6,[],12,95,87,79
2025-05-04T01:58:11.525109,ATM-00001,5972367,59,online,85,30.1,[],9,98,90,87
2025-05-04T02:03:11.525109,ATM-00001,5969885,59,online,62,23.1,[],13,90,85,91
2025-05-04T02:08:11.525109,ATM-00001,5967319,59,online,20,28.6,[],6,89,87,86
2025-05-04T02:13:11.525109,ATM-00001,5964507,59,online,150,25.2,[],14,94,93,90
2025-05-04T02:18:11.525109,ATM-00001,5960604,59,online,148,18.3,"[""20002""]",8,92,95,83
2025-05-04T02:23:11.525109,ATM-00001,5957404,59,online,141,22.7,[],8,91,82,90
2025-05-04T02:28:11.525109,ATM-00001,5953977,59,online,104,26.4,[],11,100,88,92
2025-05-04T02:33:11.525109,ATM-00001,5949813,59,online,42,31.5,[],13,94,96,87
2025-05-04T02:38:11.525109,ATM-00001,5947291,59,online,102,28.6,[],13,88,99,94
2025-05-04T02:43:11.525109,ATM-00001,5942932,59,online,105,21.1,[],8,95,82,99
2025-05-04T02:48:11.525109,ATM-00001,5939309,59,online,131,22.3,[],9,99,96,94
2025-05-04T02:53:11.525109,ATM-00001,5935312,59,online,22,30.8,[],6,96,96,80
2025-05-04T02:58:11.525109,ATM-00001,5933312,59,online,121,29,[],4,95,98,90
2025-05-04T03:03:11.525109,ATM-00001,5930798,59,online,91,20,[],15,91,89,99
2025-05-04T03:08:11.525109,ATM-00001,5925853,59,online,117,23.7,[],13,93,93,95
2025-05-04T03:13:11.525109,ATM-00001,5923917,59,online,149,31.6,[],15,91,86,84
2025-05-04T03:18:11.525109,ATM-00001,5919228,59,offline,105,30.2,[],6,96,96,87
2025-05-04T03:23:11.525109,ATM-00001,5915375,59,online,144,19.5,[],7,93,93,75
2025-05-04T03:28:11.525109,ATM-00001,5911824,59,online,59,30.5,[],9,100,88,98
2025-05-04T03:33:11.525109,ATM-00001,5907957,59,online,55,24.9,[],8,91,92,97
2025-05-04T03:38:11.525109,ATM-00001,5904658,59,online,36,19.5,[],14,96,93,89
2025-05-04T03:43:11.525109,ATM-00001,5902153,59,online,113,28.3,[],4,96,90,98
2025-05-04T03:48:11.525109,ATM-00001,5899298,58,online,25,27.4,[],8,89,82,80
2025-05-04T03:53:11.525109,ATM-00001,5895522,58,online,86,21,[],9,100,100,91
2025-05-04T03:58:11.525109,ATM-00001,5892397,58,online,121,18,[],15,85,95,85
2025-05-04T04:03:11.525109,ATM-00001,5890282,58,online,45,26.5,[],10,96,91,77
2025-05-04T04:08:11.525109,ATM-00001,5887778,58,online,90,22.2,[],12,90,90,81
2025-05-04T04:13:11.525109,ATM-00001,5885564,58,online,90,26.7,[],15,92,96,99
2025-05-04T04:18:11.525109,ATM-00001,5882061,58,online,141,21.8,[],8,97,90,93
2025-05-04T04:23:11.525109,ATM-00001,5880193,58,online,112,22.6,[],7,91,100,84
2025-05-04T04:28:11.525109,ATM-00001,5877311,58,online,130,25.5,[],4,95,93,100
2025-05-04T04:33:11.525109,ATM-00001,5872566,58,online,56,28.2,[],7,86,95,87
2025-05-04T04:38:11.525109,ATM-00001,5869583,58,online,48,22.8,[],10,99,83,76
2025-05-04T04:43:11.525109,ATM-00001,5867656,58,online,105,27,[],6,94,99,83
2025-05-04T04:48:11.525109,ATM-00001,5864676,58,online,87,27.7,[],5,96,91,89
2025-05-04T04:53:11.525109,ATM-00001,5860276,58,online,85,19.5,[],13,100,89,78
2025-05-04T04:58:11.525109,ATM-00001,5856461,58,online,115,24.5,[],8,89,87,79
2025-05-04T05:03:11.525109,ATM-00001,5851865,58,online,115,22.9,[],15,96,95,98
2025-05-04T05:08:11.525109,ATM-00001,5846933,58,online,144,23.1,[],13,98,92,76
2025-05-04T05:13:11.525109,ATM-00001,5844418,58,online,87,26.8,[],6,98,85,82
2025-05-04T05:18:11.525109,ATM-00001,5841586,58,online,97,24.2,[],10,88,88,87
2025-05-04T05:23:11.525109,ATM-00001,5836681,58,online,133,26.9,[],14,100,98,90
2025-05-04T05:28:11.525109,ATM-00001,5833673,58,online,51,25.8,[],12,95,81,91
2025-05-04T05:33:11.525109,ATM-00001,5830823,58,online,92,23.2,[],3,88,94,75
2025-05-04T05:38:11.525109,ATM-00001,5828114,58,online,119,19.4,[],8,85,81,99
2025-05-04T05:43:11.525109,ATM-00001,5825874,58,online,29,31.2,[],15,93,98,76
2025-05-04T05:48:11.525109,ATM-00001,5821538,58,online,65,31.2,[],13,88,92,97
2025-05-04T05:53:11.525109,ATM-00001,5819019,58,online,113,26.1,[],13,98,94,87
2025-05-04T05:58:11.525109,ATM-00001,5815987,58,online,70,29.1,[],6,96,91,97
2025-05-04T06:03:11.525109,ATM-00001,5811441,58,online,31,24.8,[],5,91,88,99
2025-05-04T06:08:11.525109,ATM-00001,5809308,58,online,79,29.2,[],15,91,99,75
2025-05-04T06:13:11.525109,ATM-00001,5807235,58,online,32,26.5,"[""20002""]",5,100,100,84
2025-05-04T06:18:11.525109,ATM-00001,5804330,58,online,77,22.4,[],14,98,94,99
2025-05-04T06:23:11.525109,ATM-00001,5802322,58,online,88,25.3,[],14,85,81,89
2025-05-04T06:28:11.525109,ATM-00001,5799408,57,online,131,29.8,[],5,97,80,91
2025-05-04T06:33:11.525109,ATM-00001,5796791,57,online,107,20.5,"[""20013""]",6,100,98,83
2025-05-04T06:38:11.525109,ATM-00001,5794751,57,online,149,30.1,[],9,88,82,100
2025-05-04T06:43:11.525109,ATM-00001,5792395,57,online,70,29.2,[],7,90,90,80
2025-05-04T06:48:11.525109,ATM-00001,5788666,57,online,47,26.2,[],11,89,90,100
2025-05-04T06:53:11.525109,ATM-00001,5785328,57,online,101,24.3,[],13,93,92,86
2025-05-04T06:58:11.525109,ATM-00001,5782488,57,online,101,21.9,"[""C0047""]",11,88,97,96
2025-05-04T07:03:11.525109,ATM-00001,5778950,57,online,117,30.9,[],3,95,84,76
2025-05-04T07:08:11.525109,ATM-00001,5776158,57,online,45,27.7,[],14,98,96,84
2025-05-04T07:13:11.525109,ATM-00001,5773947,57,online,91,30.1,"[""20002""]",9,89,85,75
2025-05-04T07:18:11.525109,ATM-00001,5771873,57,online,82,20.8,[],3,88,83,80
2025-05-04T07:23:11.525109,ATM-00001,5767788,57,online,73,30.8,[],3,100,92,84
2025-05-04T07:28:11.525109,ATM-00001,5763562,57,online,31,28.3,[],9,100,93,78
2025-05-04T07:33:11.525109,ATM-00001,5758927,57,online,139,23.3,[],8,85,95,88
2025-05-04T07:38:11.525109,ATM-00001,5754624,57,online,36,26.9,[],4,100,84,76
2025-05-04T07:43:11.525109,ATM-00001,5751417,57,online,121,25.9,[],4,97,98,82
2025-05-04T07:48:11.525109,ATM-00001,5749506,57,online,61,23.4,[],8,97,88,94
2025-05-04T07:53:11.525109,ATM-00001,5745495,57,online,47,26.2,[],3,95,87,94
2025-05-04T07:58:11.525109,ATM-00001,5743716,57,online,84,29.1,[],12,100,100,75
2025-05-04T08:03:11.525109,ATM-00001,5740797,57,online,106,29.4,"[""90001""]",12,99,81,78
2025-05-04T08:08:11.525109,ATM-00001,5736114,57,online,115,25.8,[],9,89,98,87
