event_id,atm_id,issue_type,error_code,description,severity,reported_at,resolved_at,resolution_time_minutes,engineer_id,parts_replaced,cost_naira,preventive
MAINT-1761375491-8490,ATM-00015,printer,20013,Receipt paper empty,medium,2025-10-25T07:58:11.156876,2025-10-25T08:09:11.156876,11,ENG-004,"[""Receipt printer""]",97746,False
MAINT-1761375491-3262,ATM-00017,printer,20014,Printer jam,medium,2025-10-25T07:58:11.156876,2025-10-25T08:20:11.156876,22,ENG-010,"[""Card reader""]",50455,False
MAINT-1761375491-6759,ATM-00020,cash_dispenser,C0047,Cassette misfeed,high,2025-10-25T07:58:11.156876,2025-10-25T08:56:11.156876,58,ENG-008,"[""Receipt printer""]",65614,False
MAINT-1761375491-6233,ATM-00025,printer,20014,Printer jam,medium,2025-10-25T07:58:11.156876,2025-10-25T08:34:11.156876,36,ENG-015,"[""Card reader""]",49998,False
MAINT-1761375491-9808,ATM-00031,printer,20013,Receipt paper empty,medium,2025-10-25T07:58:11.156876,2025-10-25T08:23:11.156876,25,ENG-010,[],21092,False
MAINT-1761375491-5421,ATM-00038,network,D1500,Connection timeout,high,2025-10-25T07:58:11.156876,2025-10-25T09:40:11.156876,102,ENG-009,"[""Cash cassette""]",52155,False
MAINT-1761375491-4445,ATM-00053,cash_dispenser,C0047,Cassette misfeed,high,2025-10-25T07:58:11.156876,2025-10-25T08:47:11.156876,49,ENG-019,"[""Receipt printer""]",55996,False
MAINT-1761375491-2305,ATM-00065,cash_dispenser,C0047,Cassette misfeed,high,2025-10-25T07:58:11.156876,2025-10-25T08:55:11.156876,57,ENG-011,"[""Receipt printer""]",20423,False
MAINT-1761375491-9404,ATM-00075,cash_dispenser,20002,Low cash warning,low,2025-10-25T07:58:11.156876,2025-10-25T10:27:11.156876,149,ENG-020,"[""Card reader""]",132592,True
MAINT-1761375491-6919,ATM-00077,cash_dispenser,C0047,Cassette misfeed,high,2025-10-25T07:58:11.156876,2025-10-25T08:58:11.156876,60,ENG-008,"[""Receipt printer""]",248086,False
MAINT-1761375491-8695,ATM-00082,card_reader,90001,Card reader malfunction,high,2025-10-25T07:58:11.156876,2025-10-25T08:47:11.156876,49,ENG-010,[],174414,False
MAINT-1761375491-4089,ATM-00082,cash_dispenser,20001,Unable to load cassette,medium,2025-10-25T07:58:11.156876,2025-10-25T08:32:11.156876,34,ENG-023,[],124270,False
MAINT-1761375491-9159,ATM-00089,cash_dispenser,20002,Low cash warning,low,2025-10-25T07:58:11.156876,2025-10-25T10:26:11.156876,148,ENG-009,"[""Card reader""]",176954,True
MAINT-1761375491-7100,ATM-00090,cash_dispenser,20002,Low cash warning,low,2025-10-25T07:58:11.156876,2025-10-25T10:03:11.156876,125,ENG-020,[],129576,False
MAINT-1761375491-4302,ATM-00093,cash_dispenser,20001,Unable to load cassette,medium,2025-10-25T07:58:11.156876,2025-10-25T08:44:11.156876,46,ENG-030,"[""Card reader""]",191489,False
MAINT-1761375491-1539,ATM-00098,cash_dispenser,20002,Low cash warning,low,2025-10-25T07:58:11.156876,2025-10-25T09:43:11.156876,105,ENG-010,"[""Cash cassette""]",63431,False
MAINT-1761375491-1899,ATM-00100,cash_dispenser,C0047,Cassette misfeed,high,2025-10-25T07:58:11.156876,2025-10-25T08:54:11.156876,56,ENG-016,"[""Cash cassette""]",117477,False
MAINT-1761289091-1517,ATM-00003,cash_dispenser,20001,Unable to load cassette,medium,2025-10-24T07:58:11.156876,2025-10-24T08:28:11.156876,30,ENG-019,"[""Cash cassette""]",65012,False
MAINT-1761289091-5331,ATM-00003,card_reader,90001,Card reader malfunction,high,2025-10-24T07:58:11.156876,2025-10-24T09:24:11.156876,86,ENG-020,"[""Cash cassette""]",88139,False
MAINT-1761289091-2083,ATM-00008,card_reader,90001,Card reader malfunction,high,2025-10-24T07:58:11.156876,2025-10-24T09:24:11.156876,86,ENG-010,"[""Card reader""]",236896,False
MAINT-1761289091-8767,ATM-00011,cash_dispenser,C0047,Cassette misfeed,high,2025-10-24T07:58:11.156876,2025-10-24T08:28:11.156876,30,ENG-030,[],60403,False
MAINT-1761289091-4063,ATM-00013,cash_dispenser,20001,Unable to load cassette,medium,2025-10-24T07:58:11.156876,2025-10-24T08:17:11.156876,19,ENG-006,"[""Cash cassette""]",113880,False
MAINT-1761289091-4337,ATM-00014,cash_dispenser,20002,Low cash warning,low,2025-10-24T07:58:11.156876,2025-10-24T10:08:11.156876,130,ENG-014,"[""Card reader""]",141476,False
MAINT-1761289091-9175,ATM-00015,cash_dispenser,20001,Unable to load cassette,medium,2025-10-24T07:58:11.156876,2025-10-24T08:25:11.156876,27,ENG-024,[],207788,False
MAINT-1761289091-2998,ATM-00026,cash_dispenser,20002,Low cash warning,low,2025-10-24T07:58:11.156876,2025-10-24T10:26:11.156876,148,ENG-013,[],42805,True
MAINT-1761289091-5282,ATM-00029,cash_dispenser,20002,Low cash warning,low,2025-10-24T07:58:11.156876,2025-10-24T10:04:11.156876,126,ENG-025,"[""Receipt printer""]",79468,False
MAINT-1761289091-4123,ATM-00031,cash_dispenser,20002,Low cash warning,low,2025-10-24T07:58:11.156876,2025-10-24T10:00:11.156876,122,ENG-023,"[""Cash cassette""]",239132,True
MAINT-1761289091-9653,ATM-00043,cash_dispenser,20001,Unable to load cassette,medium,2025-10-24T07:58:11.156876,2025-10-24T08:54:11.156876,56,ENG-016,[],69388,False
MAINT-1761289091-2169,ATM-00046,network,D1500,Connection timeout,high,2025-10-24T07:58:11.156876,2025-10-24T09:39:11.156876,101,ENG-021,"[""Receipt printer""]",52507,False
MAINT-1761289091-4398,ATM-00049,network,D1500,Connection timeout,high,2025-10-24T07:58:11.156876,2025-10-24T09:31:11.156876,93,ENG-011,"[""Card reader""]",159601,True
MAINT-1761289091-2743,ATM-00050,printer,20013,Receipt paper empty,medium,2025-10-24T07:58:11.156876,2025-10-24T08:31:11.156876,33,ENG-015,"[""Receipt printer""]",194847,True
MAINT-1761289091-6074,ATM-00056,printer,20013,Receipt paper empty,medium,2025-10-24T07:58:11.156876,2025-10-24T08:34:11.156876,36,ENG-007,"[""Card reader""]",208104,True
MAINT-1761289091-8807,ATM-00059,card_reader,90001,Card reader malfunction,high,2025-10-24T07:58:11.156876,2025-10-24T08:44:11.156876,46,ENG-006,[],37569,True
MAINT-1761289091-2098,ATM-00060,network,D1500,Connection timeout,high,2025-10-24T07:58:11.156876,2025-10-24T09:17:11.156876,79,ENG-009,"[""Cash cassette""]",125603,True
MAINT-1761289091-4909,ATM-00065,card_reader,90001,Card reader malfunction,high,2025-10-24T07:58:11.156876,2025-10-24T09:15:11.156876,77,ENG-014,[],152094,True
MAINT-1761289091-8264,ATM-00066,printer,20014,Printer jam,medium,2025-10-24T07:58:11.156876,2025-10-24T08:25:11.156876,27,ENG-022,[],181474,False
MAINT-1761289091-8431,ATM-00071,printer,20013,Receipt paper empty,medium,2025-10-24T07:58:11.156876,2025-10-24T08:05:11.156876,7,ENG-016,"[""Receipt printer""]",240680,True
MAINT-1761289091-1010,ATM-00072,cash_dispenser,20002,Low cash warning,low,2025-10-24T07:58:11.156876,2025-10-24T10:16:11.156876,138,ENG-013,"[""Card reader""]",178892,True
MAINT-1761289091-8951,ATM-00078,printer,20014,Printer jam,medium,2025-10-24T07:58:11.156876,2025-10-24T08:50:11.156876,52,ENG-026,"[""Receipt printer""]",23030,False
MAINT-1761289091-3356,ATM-00097,printer,20013,Receipt paper empty,medium,2025-10-24T07:58:11.156876,2025-10-24T08:11:11.156876,13,ENG-016,"[""Card reader""]",69139,True
MAINT-1761202691-5262,ATM-00009,cash_dispenser,C0047,Cassette misfeed,high,2025-10-23T07:58:11.156876,2025-10-23T08:47:11.156876,49,ENG-027,"[""Cash cassette""]",121008,True
MAINT-1761202691-8069,ATM-00014,network,D1500,Connection timeout,high,2025-10-23T07:58:11.156876,2025-10-23T09:54:11.156876,116,ENG-017,"[""Cash cassette""]",197882,False
MAINT-1761202691-4767,ATM-00014,cash_dispenser,20001,Unable to load cassette,medium,2025-10-23T07:58:11.156876,2025-10-23T08:57:11.156876,59,ENG-026,[],107562,False
MAINT-1761202691-4361,ATM-00018,printer,20014,Printer jam,medium,2025-10-23T07:58:11.156876,2025-10-23T08:16:11.156876,18,ENG-024,[],116603,True
MAINT-1761202691-3440,ATM-00020,printer,20013,Receipt paper empty,medium,2025-10-23T07:58:11.156876,2025-10-23T08:32:11.156876,34,ENG-024,"[""Cash cassette""]",24667,True
MAINT-1761202691-5660,ATM-00024,printer,20014,Printer jam,medium,2025-10-23T07:58:11.156876,2025-10-23T08:30:11.156876,32,ENG-011,[],169786,False
MAINT-1761202691-3540,ATM-00026,printer,20013,Receipt paper empty,medium,2025-10-23T07:58:11.156876,2025-10-23T08:12:11.156876,14,ENG-030,"[""Card reader""]",184666,False
MAINT-1761202691-4799,ATM-00026,printer,20014,Printer jam,medium,2025-10-23T07:58:11.156876,2025-10-23T08:39:11.156876,41,ENG-023,[],19985,False
MAINT-1761202691-1939,ATM-00029,card_reader,90001,Card reader malfunction,high,2025-10-23T07:58:11.156876,2025-10-23T08:52:11.156876,54,ENG-008,"[""Card reader""]",240103,False
MAINT-1761202691-6769,ATM-00042,cash_dispenser,20001,Unable to load cassette,medium,2025-10-23T07:58:11.156876,2025-10-23T08:13:11.156876,15,ENG-016,"[""Receipt printer""]",243909,False
MAINT-1761202691-3280,ATM-00043,printer,20013,Receipt paper empty,medium,2025-10-23T07:58:11.156876,2025-10-23T08:18:11.156876,20,ENG-022,"[""Receipt printer""]",50570,False
MAINT-1761202691-5467,ATM-00051,cash_dispenser,20001,Unable to load cassette,medium,2025-10-23T07:58:11.156876,2025-10-23T08:31:11.156876,33,ENG-001,"[""Cash cassette""]",220009,False
MAINT-1761202691-6407,ATM-00067,printer,20014,Printer jam,medium,2025-10-23T07:58:11.156876,2025-10-23T08:41:11.156876,43,ENG-029,"[""Card reader""]",154682,False
MAINT-1761202691-8320,ATM-00075,printer,20014,Printer jam,medium,2025-10-23T07:58:11.156876,2025-10-23T08:30:11.156876,32,ENG-014,"[""Card reader""]",81521,False
MAINT-1761202691-8479,ATM-00081,cash_dispenser,20002,Low cash warning,low,2025-10-23T07:58:11.156876,2025-10-23T10:04:11.156876,126,ENG-011,"[""Card reader""]",160878,True
MAINT-1761202691-8517,ATM-00095,card_reader,90001,Card reader malfunction,high,2025-10-23T07:58:11.156876,2025-10-23T08:51:11.156876,53,ENG-022,"[""Receipt printer""]",133767,True
MAINT-1761116291-7824,ATM-00003,cash_dispenser,20002,Low cash warning,low,2025-10-22T07:58:11.156876,2025-10-22T09:50:11.156876,112,ENG-019,[],205139,True
MAINT-1761116291-3018,ATM-00012,card_reader,90001,Card reader malfunction,high,2025-10-22T07:58:11.156876,2025-10-22T09:20:11.156876,82,ENG-025,"[""Receipt printer""]",187610,False
MAINT-1761116291-7216,ATM-00015,cash_dispenser,C0047,Cassette misfeed,high,2025-10-22T07:58:11.156876,2025-10-22T08:41:11.156876,43,ENG-019,[],109791,False
MAINT-1761116291-4193,ATM-00020,cash_dispenser,20001,Unable to load cassette,medium,2025-10-22T07:58:11.156876,2025-10-22T08:50:11.156876,52,ENG-017,[],195952,True
MAINT-1761116291-6902,ATM-00026,printer,20013,Receipt paper empty,medium,2025-10-22T07:58:11.156876,2025-10-22T08:39:11.156876,41,ENG-026,"[""Cash cassette""]",178012,False
MAINT-1761116291-3875,ATM-00029,printer,20014,Printer jam,medium,2025-10-22T07:58:11.156876,2025-10-22T08:51:11.156876,53,ENG-003,"[""Card reader""]",32052,False
MAINT-1761116291-8648,ATM-00033,network,D1500,Connection timeout,high,2025-10-22T07:58:11.156876,2025-10-22T09:48:11.156876,110,ENG-006,"[""Cash cassette""]",141397,False
